EXAME|UNIDADE|VALOR_REF
Dosagem de D-Dímero - D-Dímero|ng/mL FEU|<=500
Hemograma com Plaquetas - RDW|%|11.5 a 16.5
Dosagem de Sódio - Sódio|mEq/L|135 a 145
Hemograma Contagem Auto - Eosinófilos|%|
Dosagem de Uréia - Uréia|mg/dL|17 a 49
Hemograma Contagem Auto - Basófilos|%|
Hemograma com Plaquetas - Volume Médio Plaquetário|fL|6.5 a 15.0
Hemograma com Plaquetas - Hematócrito|%|35.0 a 45.0
Hemograma com Plaquetas - Hemácias|x10^6/uL|3.90 a 5.00
Hemograma com Plaquetas - Hemoglobina|g/dL|12.0 a 15.5
Hemograma Contagem Auto - Linfócitos|%|
Hemograma com Plaquetas - Plaquetas|x10^3/uL|
Hemograma com Plaquetas - CHCM|g/dL|31.0 a 36.0
Hemograma Contagem Auto - Eosinófilos  #|µL|50 a 500
Dosagem de Potássio - Potássio|mEq/L|3.5 a 5.0
Hemograma Contagem Auto - Linfócitos #|µL|900 a 2900
Hemograma Contagem Auto - Neutrófilos|%|
Hemograma com Plaquetas - VCM|fL|82.0 a 98.0
Hemograma com Plaquetas - Leucócitos #|µL|3500 a 10500
Hemograma com Plaquetas - Leucócitos|x10^3/uL|
Hemograma Contagem Auto - Neutrófilos  #|µL|1700 a 8000
Hemograma Contagem Auto - Monócitos #|µL|300 a 900
Hemograma Contagem Auto - Monócitos|%|
Dosagem de CreatiNINA - Creatinina|mg/dL|0.50 a 0.90
Hemograma Contagem Auto - Basófilos #|µL|0 a 100
Hemograma com Plaquetas - HCM|pg|26.0 a 34.0
PCR em tempo real para detecção de Coron - Resultado COVID-19:||Não detectado
Gasometria Arterial - ctO2 (gasometria arterial)|mmol/L|7.1 a 8.9
Gasometria Arterial - BE (gasometria arterial)|mEq/L|-2.0 a 2.0
Dosagem de Bilirrubina Total e Frações - Bilirrubina Direta|mg/dL|0.0 a 0.3
Dosagem de Bilirrubina Total e Frações - Bilirrubina Total|mg/dL|0.1 a 1.2
Dosagem de Magnésio - Magnésio|mEq/L|1.3 a 2.1
Dosagem de Desidrogenase Láctica - Dehidrogenase Láctica|U/L|135 a 214
Gasometria Arterial - pCO2 (gasometria arterial)|mm Hg|35.0 a 45.0
Dosagem de Lactato (arterial) - Ácido Lático Arterial|mg/dL|4.5 a 14.4
Dosagem de TGP - TGP|U/L|0 a 33
Dosagem de CPK - CPK|U/L|20 a 180
Gasometria Arterial - pO2 (gasometria arterial)|mm Hg|80.0 a 90.0
Dosagem de Bilirrubina Total e Frações - Bilirrubina Indireta|mg/dL|0.1 a 0.9
Gasometria Arterial - CO2 Total (gasometria arterial)|mmol/L|23.0 a 27.0
Gasometria Arterial - pH (gasometria arterial)||7.350 a 7.450
Gasometria Arterial - Fio2 Arterial||
Gasometria Arterial - Ácido Lático Arterial|mg/dL|4.5 a 14.4
Gasometria Arterial - Saturação da Hb (gasometria arterial)|%|96.0 a 97.0
Gasometria Arterial - HCO3 (gasometria arterial)|mEq/L|24.0 a 28.0
Dosagem de TGO - TGO|U/L|0 a 32
Empresarial: Anticorpos Totais  IgG+IgM  - COVID19 IgM, teste rápido||Não Reagente
Empresarial: Anticorpos Totais  IgG+IgM  - COVID19 IgG, teste rápido||Não Reagente
Dosagem de TGP - TGP|U/L|10 a 35
Dosagem de Gama GT - Gama GT|U/L|5 a 36
Dosagem de Testosterona Total e Livre - Albumina|g/dL|3.50 a 5.20
Dosagem de Fosfatase Alcalina - Fosfatase Alcalina|U/L|35 a 104
Dosagem de Glicose - Dosagem de Glicose||
Dosagem de Glicose - Dosagem de Glicose|mg/dL|70 a 99
Urina Tipo I - Esterase||Ausente
Urina Tipo I - Aspecto||Límpido
Urina Tipo I - Pigmentos biliares||Ausentes
Urina Tipo I - Densidade||1015 a 1025
Urina Tipo I - Cor||Amarela
Urina Tipo I - Hemácias Urina|/mL|<=10000
Urina Tipo I - Cristais||Ausentes
Urina Tipo I - Proteína||Não Detectado
Urina Tipo I - Urobilinogênio||Normal
Urina Tipo I - Cilindros granulosos||Ausentes
Urina Tipo I - Nitrito||Negativo
Urina Tipo I - Açúcar||Ausente
Urina Tipo I - pH||4.6 a 8.0
Urina Tipo I - Cilindros hialinos||Ausentes
Urina Tipo I - Corpos cetônicos||Ausentes
Urina Tipo I - Hemoglobina Urina||Ausente
Urina Tipo I - Leveduras||Ausentes
Urina Tipo I - Leucócitos Urina|/mL|<=10000
Painel Molecular Patogenos Respiratorios - Inf A H1N1 2009||Não detectado
Painel Molecular Patogenos Respiratorios - Parainfluenza 4||Não detectado
Painel Molecular Patogenos Respiratorios - Influenza  B||Não detectado
Painel Molecular Patogenos Respiratorios - Rhinovírus/Enterovírus||Não detectado
Painel Molecular Patogenos Respiratorios - Influenza  A||Não detectado
Painel Molecular Patogenos Respiratorios - Mycoplasma pneumoniae||Não detectado
Painel Molecular Patogenos Respiratorios - Parainfluenza 2||Não detectado
Painel Molecular Patogenos Respiratorios - Parainfluenza 1||Não detectado
Painel Molecular Patogenos Respiratorios - Adenovirus||Não detectado
Painel Molecular Patogenos Respiratorios - Vírus Sincicial Respiratório||Não detectado
Painel Molecular Patogenos Respiratorios - Bordetella pertussis||Não detectado
Painel Molecular Patogenos Respiratorios - CoronavírusHKU1||Não detectado
Painel Molecular Patogenos Respiratorios - CoronavírusNL63||Não detectado
Painel Molecular Patogenos Respiratorios - CoronavírusOC43||Não detectado
Painel Molecular Patogenos Respiratorios - Coronavírus229E||Não detectado
Painel Molecular Patogenos Respiratorios - Parainfluenza 3||Não detectado
Painel Molecular Patogenos Respiratorios - Metapneumovírus||Não detectado
Painel Molecular Patogenos Respiratorios - Chlamydophila pneumoniae||Não detectado
Sorologia SARS-CoV-2/COVID19 IgG/IgM - IgM, COVID19|AU/ml|<=0.90
Sorologia SARS-CoV-2/COVID19 IgG/IgM - COVID IgM Interp||
Sorologia SARS-CoV-2/COVID19 IgG/IgM - IgG, COVID19|AU/ml|<=0.90
Sorologia SARS-CoV-2/COVID19 IgG/IgM - COVID IgG Interp||
Dosagem de TGP - TGP|U/L|10 a 50
Dosagem de CreatiNINA - Creatinina|mg/dL|0.70 a 1.20
Dosagem de TGO - TGO|U/L|<=40
Dosagem de Gama GT - Gama GT|U/L|8 a 61
