EXAME|UNIDADE|VALOR_REF
NOVO CORONAVÍRUS 2019 (SARS-CoV-2), DETECÇÃO POR PCR - Covid 19, Detecção por PCR - Covid 19, Detecção por PCR||Não detectado
NOVO CORONAVÍRUS 2019 (SARS-CoV-2), DETECÇÃO POR PCR - Covid 19, Material - Covid 19, Material||
HEMOGRAMA, sangue total - Hemoglobina - Hemoglobina|g/dL|13,5 a 17,5
HEMOGRAMA, sangue total - VCM - VCM|fL|81,0 a 95,0
HEMOGRAMA, sangue total - Leucócitos - Leucócitos|/mm3|3.500 a 10.500
HEMOGRAMA, sangue total - Neutrófilos - Neutrófilos|/mm3|1.700 a 7.000
HEMOGRAMA, sangue total - Eosinófilos - Eosinófilos|/mm3|50 a 500
HEMOGRAMA, sangue total - Basófilos - Basófilos|/mm3|0 a 300
HEMOGRAMA, sangue total - Linfócitos - Linfócitos|/mm3|900 a 2.900
HEMOGRAMA, sangue total - Monócitos - Monócitos|/mm3|300 a 900
HEMOGRAMA, sangue total - Plaquetas - Plaquetas|/mm3|150.000 a 450.000
HEMOGRAMA, sangue total - Eritrócitos - Eritrócitos|milhões/mm3|4,30 a 5,70
HEMOGRAMA, sangue total - Hematócrito - Hematócrito|%|39,0 a 50,0
HEMOGRAMA, sangue total - Hemoglobina Corpuscular Média - Hemoglobina Corpuscular Média|pg|26,0 a 34,0
HEMOGRAMA, sangue total - Concentração de Hemoglobina Corpuscular - Concentração de Hemoglobina Corpuscular|g/dL|31,0 a 36,0
HEMOGRAMA, sangue total - RDW - RDW|%|11,8 a 15,6
HEMOGRAMA, sangue total - Neutrófilos (%) - Neutrófilos (%)|%|
HEMOGRAMA, sangue total - Eosinófilos (%) - Eosinófilos (%)|%|
HEMOGRAMA, sangue total - Basófilos (%) - Basófilos (%)|%|
HEMOGRAMA, sangue total - Linfócitos (%) - Linfócitos (%)|%|
HEMOGRAMA, sangue total - Monócitos (%) - Monócitos (%)|%|
HEMOGRAMA, sangue total - Morfologia, Série Vermelha - Morfologia, Série Vermelha||
HEMOGRAMA, sangue total - Morfologia, Série Branca - Morfologia, Série Branca||
HEMOGRAMA, sangue total - Volume plaquetário médio - Volume plaquetário médio|fL|9,2 a 12,6
PROTEINA C-REATIVA, soro - Proteína C-Reativa - Proteína C-Reativa|mg/dL|
HEMOGLOBINA GLICADA (A1C), sangue total - Hemoglobina Glicada - Hemoglobina Glicada|%|
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Albumina - Eletro - Albumina|g/dL|3,50 a 4,85
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Alfa 1 globulina - Eletro - Alfa 1 globulina|g/dL|0,22 a 0,43
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Alfa 2 globulina - Eletro - Alfa 2 globulina|g/dL|0,55 a 1,08
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Beta 1 globulina - Eletro - Beta 1 globulina|g/dL|0,32 a 0,54
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Beta 2 globulina - Eletro - Beta 2 globulina|g/dL|0,24 a 0,54
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Gama globulina - Eletro - Gama globulina|g/dL|0,74 a 1,75
ELETROFORESE DAS PROTEÍNAS SÉRICAS - Eletro - Albumina/Globulina - Eletro - Albumina/Globulina|g/dL|0,9 a 2,0
PROTEINA TOTAL, soro - Proteínas - Proteínas|g/dL|6,5 a 8,1
GLICOSE, plasma - Glicose - Glicose|mg/dL|75 a 99
LDL-COLESTEROL, soro - LDL-Colesterol - LDL-Colesterol|mg/dL|menor que 100
COLESTEROL TOTAL, soro - Colesterol total - Colesterol total|mg/dL|menor que 190
HDL-COLESTEROL, soro - HDL-Colesterol - HDL-Colesterol|mg/dL|maior que 40
TRIGLICERIDES, soro - Triglicérides - Triglicérides|mg/dL|< 150
VLDL-COLESTEROL, soro - VLDL-Colesterol - VLDL-Colesterol|mg/dL|< 30
NÃO-HDL-COLESTEROL, soro - Colesterol não-HDL, soro - Colesterol não-HDL, soro|mg/dL|menor que 130
INSULINA, soro - Insulina - Insulina|mU/L|
INSULINA, soro - HOMA-IR - HOMA-IR||
DETECÇÃO DE VÍRUS E BACTÉRIAS DO TRATO RESPIRATÓRIO POR TÉCNICA MOLECULAR - Vírus Respiratórios - Detecção molecular - Vírus Respiratórios - Detecção molecular||Negativo
DIMEROS D, plasma - Dimeros D, quantitativo - Dimeros D, quantitativo|ng/mL|Até 500
HEMOSSEDIMENTACAO, sangue total - VHS - VHS|mm|Até 8
FERRITINA, soro - Ferritina - Ferritina|microg/L|26 a 446
CREATINOQUINASE TOTAL (CK), soro - CK - CK|U/L|38 a 174
COVID19, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Quimiolumin.-Índice - Covid 19, Anticorpos IgG, Quimiolumin.-Índice|UA/mL|inferior a 1,0
COVID19, ANTICORPOS IgM, soro - Covid 19, Anticorpos IgM, Quimiolumin.-Índice - Covid 19, Anticorpos IgM, Quimiolumin.-Índice|UA/mL|inferior a 1,0
COVID19, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Quimiolumin.-Índice - Covid 19, Anticorpos IgG, Quimiolumin.-Índice|UA/mL|inferior a 0,8
COVID19, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Quimioluminescência - Covid 19, Anticorpos IgG, Quimioluminescência||Não reagente
COVID19, ANTICORPOS IgM, soro - Covid 19, Anticorpos IgM, Quimiolumin.-Índice - Covid 19, Anticorpos IgM, Quimiolumin.-Índice|UA/mL|inferior a 0,8
COVID19, ANTICORPOS IgM, soro - Covid 19, Anticorpos IgM, Quimioluminescência - Covid 19, Anticorpos IgM, Quimioluminescência||Não reagente
HEMOGRAMA, sangue total - Hemoglobina - Hemoglobina|g/dL|12,0 a 15,5
HEMOGRAMA, sangue total - VCM - VCM|fL|82,0 a 98,0
HEMOGRAMA, sangue total - Leucócitos - Leucócitos|/mm3| 3.500 a 10.500
HEMOGRAMA, sangue total - Eosinófilos - Eosinófilos|/mm3| 50 a 500
HEMOGRAMA, sangue total - Linfócitos - Linfócitos|/mm3| 900 a 2.900
HEMOGRAMA, sangue total - Monócitos - Monócitos|/mm3| 300 a 900
HEMOGRAMA, sangue total - Plaquetas - Plaquetas|/mm3| 150.000 a 450.000
HEMOGRAMA, sangue total - Eritrócitos - Eritrócitos|milhões/mm3|3,90 a 5,00
HEMOGRAMA, sangue total - Hematócrito - Hematócrito|%|35,0 a 45,0
HEMOGRAMA, sangue total - RDW - RDW|%|11,9 a 15,5
HEMOGRAMA, sangue total - Neutrófilos (%) - Neutrófilos (%)||
HEMOGRAMA, sangue total - Eosinófilos (%) - Eosinófilos (%)||
HEMOGRAMA, sangue total - Basófilos (%) - Basófilos (%)||
HEMOGRAMA, sangue total - Linfócitos (%) - Linfócitos (%)||
HEMOGRAMA, sangue total - Monócitos (%) - Monócitos (%)||
HEMOGRAMA, sangue total - Volume plaquetário médio - Volume plaquetário médio|%|9,2 a 12,6
HEMOSSEDIMENTACAO, sangue total - VHS - VHS|mm|Até  10
PROTEINA C-REATIVA, plasma - Proteína C-Reativa - Proteína C-Reativa|mg/dL|
CREATINOQUINASE TOTAL (CPK), plasma - CK - CK|U/L|26 a 140
FERRITINA, soro - Ferritina - Ferritina|microg/L|15 a 149
HEMOSSEDIMENTACAO, sangue total - VHS - VHS|mm|Até 29
TIROXINA (T4) LIVRE, soro - T4 Livre - T4 Livre|ng/dL|
HORMONIO TIROESTIMULANTE (TSH), soro - Hormônio Tiroestimulante - Hormônio Tiroestimulante|mUI/L|0,45 a 4,5
INSULINA, soro - HOMA-IR - HOMA-IR|mU/L|
INSULINA, soro - IMC - Índice de massa corporal - IMC - Índice de massa corporal||
ACIDO URICO, soro - Ácido Úrico, soro - Ácido Úrico, soro|mg/dL|2,4 a 5,7
LIPOPROTEINA Lp(a), soro - Lipoproteina Lp(a) - Lipoproteina Lp(a)|nmol/L|Até 75
HOMOCISTEINA, plasma - Homocisteína - Homocisteína|micromol/L|5,0 a 14,0
TRANSAMINASE GLUTAMICO-OXALACETICA (TGO) - AST (TGO) - AST (TGO)|U/L|Até 32
TRANSAMINASE GLUTAMICO-PIRUVICA (TGP) - ALT (TGP) - ALT (TGP)|U/L|Até 33
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), soro - Gama-GT - Gama-GT|U/L|De 8 a 41
CREATINOQUINASE TOTAL (CK), soro - CK - CK|U/L|26 a 140
UREIA, soro - Uréia - Uréia|mg/dL|10 a 50
SODIO, soro - Sódio - Sódio|mEq/L|136 a 145
POTASSIO, soro - Potássio - Potássio|mEq/L|3,5 a 5,1
HORMONIO LUTEINIZANTE (LH), soro - LH - LH|UI/L|
HORMONIO FOLICULO ESTIMULANTE (FSH), soro - FSH - FSH|UI/L|
ESTRADIOL, soro - Estradiol - Estradiol|ng/dL|
PARATORMONIO (PTH), MOLECULA INTACTA, soro - PTH - PTH|pg/mL|10 a 65
CALCIO, soro - Cálcio - Cálcio|mg/dL|8,6 a 10,3
CREATININA, soro - Creatinina - Creatinina|mg/dL|0,60 a 1,10
CALCIO IONIZADO, soro - Cálcio Ionizado - Cálcio Ionizado|mmol/L|1,11 a 1,40
INTERLIGADORES C-TERMINAIS DO COLAGENO TIPO I, soro - CTX - CTX|ng/mL|Mulheres: inferior a 0,650
HEPATITE B, ANTICORPO CONTRA ANTIGENO DE SUPERFICIE, soro (Anti-HBs) - Anti-HBs - Anti-HBs||Não Reagente
CAXUMBA, ANTICORPOS IgG, soro - Caxumba, IgG - Caxumba, IgG||
CAXUMBA, ANTICORPOS IgM, soro - Caxumba, IgM - Caxumba, IgM||
URINA TIPO I - JATO MEDIO - pH, urina - pH, urina||5,0 a 8,0
URINA TIPO I - JATO MEDIO - Densidade, urina - Densidade, urina||1,010 a 1,030
URINA TIPO I - JATO MEDIO - Proteínas, urina isolada - Proteínas, urina isolada|g/L|inferior a 0,10
URINA TIPO I - JATO MEDIO - Glicose, urina isolada - Glicose, urina isolada|g/L|inferior a 0,3
URINA TIPO I - JATO MEDIO - Corpos cetônicos, urina - Corpos cetônicos, urina|mg/dL|inferior a 5,0 (negativa)
URINA TIPO I - JATO MEDIO - Bilirrubina, urina - Bilirrubina, urina|mg/dL|inferior a 1,0 (negativa)
URINA TIPO I - JATO MEDIO - Urobilinogênio, urina - Urobilinogênio, urina|mg/dL|inferior a 1,0 (negativa)
URINA TIPO I - JATO MEDIO - Leucócitos quantitativo, urina - Leucócitos quantitativo, urina||inferior a 30000
URINA TIPO I - JATO MEDIO - Eritrócitos quantitativo, urina - Eritrócitos quantitativo, urina||inferior a 12000
URINA TIPO I - JATO MEDIO - Dismorfismo, urina - Dismorfismo, urina|mg/dL|Ausente
URINA TIPO I - JATO MEDIO - Aspecto, urina - Aspecto, urina||limpido
URINA TIPO I - JATO MEDIO - Cor, urina - Cor, urina||
URINA TIPO I - JATO MEDIO - Cilindros, urina - Cilindros, urina||
URINA TIPO I - JATO MEDIO - Células Epiteliais, urina - Células Epiteliais, urina||
URINA TIPO I - JATO MEDIO - Nitrito, urina - Nitrito, urina||negativa
HORMONIO ADRENOCORTICOTROFICO (ACTH), plasma - ACTH - ACTH|pg/mL|7 a 63
HORMONIO ADRENOCORTICOTROFICO (ACTH), plasma - Período de coleta (horas) - Período de coleta (horas)||
CORTISOL, soro - Cortisol - Cortisol|microg/dL|6,0 a 18,4
17-ALFA-HIDROXIPROGESTERONA, soro - 17-alfa-hidroxiprogesterona - 17-alfa-hidroxiprogesterona|ng/mL|
ANDROSTENEDIONA, soro - Androstenediona - Androstenediona|ng/dL|Homens: 30 a 180
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|70 a 492
GLOBULINA LIGADORA DE HORMONIOS SEXUAIS(SHBG), soro - SHBG - SHBG|mmol/L|18 a 54
TESTOSTERONA LIVRE,soro - Testosterona livre - Testosterona livre|pmol/L|131 a 640
PROLACTINA, soro - Prolactina - Prolactina|microg/L|Até 20
RENINA, ATIVIDADE PLASMÁTICA - Renina - Renina|ng/mL|0,3 a 5,8
HORMONIO TIROESTIMULANTE (TSH), soro - Hormônio Tiroestimulante - Hormônio Tiroestimulante|mUI/L|0,50 a 4,4
TIROXINA (T4) LIVRE, soro - T4 Livre - Eletroquimioluminescencia - T4 Livre - Eletroquimioluminescencia|ng/dL|
PESQUISA DE VIRUS RESPIRATORIOS - Vírus respiratórios - detecção - Vírus respiratórios - detecção||
HEMOGRAMA, sangue total - VCM - VCM|fL| 81,0 a 95,0
HEMOSSEDIMENTACAO, sangue total - VHS - VHS|mm|Até  8
CREATININA, plasma - Creatinina - Creatinina|mg/dL|0,70 a 1,30
UREIA, plasma - Uréia - Uréia|mg/dL|10 a 50
DESIDROGENASE LACTICA (DHL), plasma - DHL - DHL|U/L|240 a 480
TRANSAMINASE GLUTAMICO-OXALACETICA (TGO) - AST (TGO) - AST (TGO)|U/L|Até 40
TRANSAMINASE GLUTAMICO-PIRUVICA (TGP) - ALT (TGP) - ALT (TGP)|U/L|Até 41
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), plasma - Gama-GT - Gama-GT|U/L|12 a 73
FOSFATASE ALCALINA (ALP), soro - Fosfatase Alcalina - Fosfatase Alcalina|U/L|40 - 129
CREATINOQUINASE TOTAL (CPK), plasma - CK - CK|U/L|38 a 174
ACIDO URICO, plasma - Ácido Úrico, soro - Ácido Úrico, soro|mg/dL|3,4 a 7,0
COVID19, ANTICORPOS IgA, soro - Covid 19, Anticorpos IgA, Elisa - Covid 19, Anticorpos IgA, Elisa||Não reagente
COVID19, ANTICORPOS IgA, soro - Covid 19, Anticorpos IgA, Elisa - Índice - Covid 19, Anticorpos IgA, Elisa - Índice||inferior a 0,80
COVID19, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Elisa - Covid 19, Anticorpos IgG, Elisa||Não reagente
COVID19, ANTICORPOS IgG, soro - Covid 19, Anticorpos IgG, Elisa - Índice - Covid 19, Anticorpos IgG, Elisa - Índice||inferior a 0,80
GAMA GLUTAMIL TRANSFERASE (GAMA-GT), soro - Gama-GT - Gama-GT|U/L|De 12 a 73
DESIDROGENASE LACTICA (DHL), soro - DHL - DHL|U/L|240 a 480
RUBEOLA, ANTICORPOS IgG, soro - Rubeola, IgG - Rubeola, IgG||
RUBEOLA, ANTICORPOS IgM, soro - Rubeola, IgM - Rubeola, IgM||
SARAMPO, ANTICORPOS IgG, soro - Sarampo, Anticorpos IgG - Sarampo, Anticorpos IgG||
SARAMPO, ANTICORPOS IgM, soro - Sarampo, Anticorpos IgM - Sarampo, Anticorpos IgM||
VARICELLA-ZOSTER VIRUS, ANTICORPOS IgG, soro - Varicella-Zoster, anticorpos IgG - Varicella-Zoster, anticorpos IgG||
VARICELLA-ZOSTER VIRUS, ANTICORPOS IgM, soro - Varicella-Zoster, anticorpos IgM - Varicella-Zoster, anticorpos IgM||
CITOMEGALOVIRUS, ANTICORPOS IgG, soro - CMV, IgG - CMV, IgG|UA/mL|
CITOMEGALOVIRUS, ANTICORPOS IgM, soro - CMV, IgM - CMV, IgM||
VIRUS EPSTEIN BARR (ANTIGENO DO CAPSIDEO VIRAL), ANTICORPOS IgG, soro - Epstein-Barr, IgG - Epstein-Barr, IgG||
VIRUS EPSTEIN BARR (ANTIGENO DO CAPSIDEO VIRAL), ANTICORPOS IgM, soro - Epstein-Barr, IgM - Epstein-Barr, IgM||
TOXOPLASMA, ANTICORPOS IgG, soro - Toxoplasma, IgG - Toxoplasma, IgG|UI/mL|
TOXOPLASMA, ANTICORPOS IgM, soro - Toxoplasma, IgM - Toxoplasma, IgM||
BORDETELLA PERTUSSIS, ANTICORPOS IgG, soro - Bordetella Pertussis IgG - Bordetella Pertussis IgG|UI/mL|Negativo
BORDETELLA PERTUSSIS, ANTICORPOS IgG, soro - Bordetella Pertussis - Bordetella Pertussis|UI/mL|Negativo: inferior a 40
ANTICORPOS TOTAIS CONTRA O VIRUS DA HEPATITE A (Anti-VHA Total) - Anti-VHA Total - Anti-VHA Total||Não Reagente
ANTICORPOS ANTI-VIRUS DA HEPATITE C (Anti-HCV), soro - Anti-HCV - Anti-HCV||Não Reagente
SIFILIS, ANTICORPOS CONTRA ANTIGENO NAO TREPONEMICO(CARDIOLIPINA), soro - Sífilis - Floculação - Sífilis - Floculação||Não reagente
HIV1/HIV2, ANTICORPOS E ANTÍGENO, soro - HIV1/HIV2 - Índice - HIV1/HIV2 - Índice||
HIV1/HIV2, ANTICORPOS E ANTÍGENO, soro - HIV1/HIV2 - HIV1/HIV2||não reagente
ANTIGENO DE SUPERFICIE DA HEPATITE B, soro - AgHBs - AgHBs||Não Reagente
ANTICORPO CONTRA O ANTIGENO DO CORE DO VIRUS DA HEPATITE B, soro - Anti-HBc Total - Anti-HBc Total||Não Reagente
URINA TIPO I - JATO MEDIO - Leucócitos quantitativo, urina - Leucócitos quantitativo, urina||inferior a 30.000/mL
URINA TIPO I - JATO MEDIO - Eritrócitos quantitativo, urina - Eritrócitos quantitativo, urina||inferior a 12.000/mL
URINA TIPO I - JATO MEDIO - Aspecto, urina - Aspecto, urina||límpido
ALDOSTERONA, soro - Aldosterona - Aldosterona|ng/dL|1,8 a 23,2
HEMOSSEDIMENTACAO, sangue total - VHS - VHS|mm|Até 10
FOSFATASE ALCALINA (ALP), soro - Fosfatase Alcalina - Fosfatase Alcalina|U/L|35 - 104
TEMPO DE PROTROMBINA, plasma - TP/INR - TP/INR|segundos|0,9 a 1,1
TEMPO DE PROTROMBINA, plasma - Tempo de Protrombina - Tempo de Protrombina|segundos|10,1 a 12,8
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, plasma - TTPA - TTPA|segundos|25,4 a 33,4
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, plasma - TTPA-Paciente/Normal - TTPA-Paciente/Normal|segundos|0,91 a 1,20
TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, plasma - TTPA-Normal do dia - TTPA-Normal do dia||
ANTICOAGULANTE LUPICO, plasma - Anticoagulante Lupico - Conclusão - Anticoagulante Lupico - Conclusão||
FIBRINOGENIO, plasma - Fibrinogenio - Fibrinogenio|mg/dL|200 a 400
ALDOSTERONA, soro - Observação - Observação||
BILIRRUBINAS, soro - Bilirrubina Direta - Bilirrubina Direta|mg/dL|0,00 a 0,30
BILIRRUBINAS, soro - Bilirrubina Total - Bilirrubina Total|mg/dL|0,20 a 1,10
BILIRRUBINAS, soro - Bilirrubina Indireta - Bilirrubina Indireta|mg/dL|0,20 a 0,80
ZINCO, plasma - Zinco - Zinco|microgramas/mL|0,50 a 1,10
VITAMINA A (retinol), soro - Vitamina A (retinol), soro - Vitamina A (retinol), soro|mg/L|0,3 a 0,7
ACIDO ASCORBICO, plasma - Ácido ascorbico, plasma - Ácido ascorbico, plasma|mg/dL|0,4 a 2,0
VITAMINA E (tocoferol), soro - Vitamina E (tocoferol), soro - Vitamina E (tocoferol), soro||
VITAMINA B-12, soro - Vitamina B-12 - Vitamina B-12|ng/L|Maior que 300
ACIDO FOLICO, soro - Ácido fólico - Eletroquimioluminescência - Ácido fólico - Eletroquimioluminescência|ng/mL|Superior a 3,9
FOSFORO INORGANICO, soro - Fósforo - Fósforo|mg/dL|2,5 a 4,5
CLORO, soro - Cloro - Cloro|mEq/L|98 a 107
ALUMINIO, plasma - Alumínio - Alumínio|microg/L|Até 10
SULFATO DE DEHIDROEPIANDROSTERONA (DHEA-S), soro - DHEA-S - DHEA-S|microg/dL|99 a 407
DEHIDROEPIANDROSTERONA, soro - DHA, Radioimunoensaio - DHA, Radioimunoensaio|ng/mL|
LIPASE, soro - Lipase - Lipase|U/L|inferior a 60
